sandstorm_budget,initial_water,initial_food,training_samples_per_model,feasible,worst_failure_rate,worst_mean_penalized_value,worst_p05
8,210,210,500,False,0.008,7644.46,7135.0
8,210,220,500,False,0.012,7831.345,7085.0
8,210,230,500,False,0.012,7785.42,7035.0
8,210,240,500,False,0.012,7735.42,6985.0
8,210,250,500,False,0.012,7685.42,6935.0
8,210,260,500,False,0.012,7635.42,6885.0
8,210,270,500,False,0.012,7585.42,6835.0
8,210,280,500,False,0.012,7535.42,6785.0
8,220,180,500,False,0.034,7386.44,7260.0
8,220,190,500,False,0.02,7473.415,7210.0
8,220,200,500,False,0.016,7537.09,7160.0
8,220,210,500,False,0.008,7619.46,7110.0
8,220,220,500,False,0.01,7806.345,7060.0
8,220,230,500,False,0.006,7980.535,7070.0
8,220,240,500,False,0.006,7936.365,7020.0
8,220,250,500,False,0.006,7886.365,6970.0
8,220,260,500,False,0.006,7836.365,6920.0
8,220,270,500,False,0.006,7786.365,6870.0
8,230,180,500,False,0.034,7362.29,7235.0
8,230,190,500,False,0.02,7448.915,7185.0
8,230,200,500,False,0.016,7512.49,7135.0
8,230,210,500,False,0.008,7594.46,7085.0
8,230,220,500,False,0.01,7781.345,7035.0
8,230,230,500,False,0.006,8032.955,7045.0
8,230,240,500,False,0.008,8334.73,7000.0
8,230,250,500,False,0.008,8312.66,6950.0
8,240,180,500,False,0.034,7338.14,7210.0
8,240,190,500,False,0.02,7424.415,7160.0
8,240,200,500,False,0.016,7487.89,7110.0
8,240,210,500,False,0.008,7569.46,7060.0
8,240,220,500,False,0.01,7756.345,7010.0
8,240,230,500,False,0.006,8007.955,7020.0
8,240,240,500,False,0.006,8336.625,6980.0
8,250,180,500,False,0.034,7313.99,7185.0
8,250,190,500,False,0.02,7399.915,7135.0
8,250,200,500,False,0.016,7463.29,7085.0
8,250,210,500,False,0.008,7544.46,7035.0
8,250,220,500,False,0.01,7731.345,6985.0
8,260,180,500,False,0.034,7289.84,7160.0
8,260,190,500,False,0.02,7375.415,7110.0
8,260,200,500,False,0.016,7438.69,7060.0
8,260,210,500,False,0.008,7519.46,7010.0
8,270,180,500,False,0.034,7265.69,7135.0
8,270,190,500,False,0.02,7350.915,7085.0
8,280,180,500,False,0.034,7241.54,7110.0
9,180,180,500,False,0.034,7483.04,7360.0
9,180,190,500,False,0.026,7492.66,7310.0
9,180,200,500,False,0.026,7443.96,7260.0
9,180,210,500,False,0.026,7395.26,7210.0
9,180,220,500,False,0.026,7346.56,7160.0
9,180,230,500,False,0.026,7297.86,7110.0
9,180,240,500,False,0.026,7249.16,7060.0
9,180,250,500,False,0.026,7200.46,7010.0
9,180,260,500,False,0.026,7151.76,6960.0
9,180,270,500,False,0.026,7103.06,6910.0
9,180,280,500,False,0.026,7054.36,6860.0
9,190,180,500,False,0.034,7458.89,7335.0
9,190,190,500,False,0.02,7511.49,7285.0
9,190,200,500,False,0.016,7526.245,7235.0
9,190,210,500,False,0.016,7477.045,7185.0
9,190,220,500,False,0.016,7427.845,7135.0
9,190,230,500,False,0.016,7378.645,7085.0
9,190,240,500,False,0.016,7329.445,7035.0
9,190,250,500,False,0.016,7280.245,6985.0
9,190,260,500,False,0.016,7231.045,6935.0
9,190,270,500,False,0.016,7181.845,6885.0
9,190,280,500,False,0.016,7132.645,6835.0
9,200,180,500,False,0.034,7434.74,7310.0
9,200,190,500,False,0.02,7486.99,7260.0
9,200,200,500,False,0.012,7529.835,7210.0
9,200,210,500,False,0.008,7567.165,7160.0
9,200,220,500,False,0.008,7517.165,7110.0
9,200,230,500,False,0.008,7467.165,7060.0
9,200,240,500,False,0.008,7417.165,7010.0
9,200,250,500,False,0.008,7367.165,6960.0
9,200,260,500,False,0.008,7317.165,6910.0
9,200,270,500,False,0.008,7267.165,6860.0
9,200,280,500,False,0.008,7217.165,6810.0
9,210,180,500,False,0.034,7410.59,7285.0
9,210,190,500,False,0.02,7462.49,7235.0
9,210,200,500,False,0.012,7505.135,7185.0
9,210,210,500,False,0.006,7542.165,7135.0
9,210,220,500,False,0.008,7594.46,7085.0
9,210,230,500,False,0.008,7551.16,7035.0
9,210,240,500,False,0.008,7501.16,6985.0
9,210,250,500,False,0.008,7451.16,6935.0
9,210,260,500,False,0.008,7401.16,6885.0
9,210,270,500,False,0.008,7351.16,6835.0
9,210,280,500,False,0.008,7301.16,6785.0
9,220,180,500,False,0.034,7386.44,7260.0
9,220,190,500,False,0.02,7437.99,7210.0
9,220,200,500,False,0.012,7480.435,7160.0
9,220,210,500,False,0.006,7517.165,7110.0
9,220,220,500,False,0.006,7569.46,7060.0
9,220,230,500,True,0.002,7756.345,7070.0
9,220,240,500,True,0.002,7710.42,7020.0
9,220,250,500,True,0.002,7660.42,6970.0
9,220,260,500,True,0.002,7610.42,6920.0
9,220,270,500,True,0.002,7560.42,6870.0
9,230,180,500,False,0.034,7362.29,7235.0
9,230,190,500,False,0.02,7413.49,7185.0
9,230,200,500,False,0.012,7455.735,7135.0
9,230,210,500,False,0.006,7492.165,7085.0
9,230,220,500,False,0.006,7544.46,7035.0
9,230,230,500,True,0.002,7731.345,7045.0
9,230,240,500,False,0.006,7905.535,6995.0
9,230,250,500,False,0.006,7861.365,6945.0
9,240,180,500,False,0.034,7338.14,7210.0
9,240,190,500,False,0.02,7388.99,7160.0
9,240,200,500,False,0.012,7431.035,7110.0
9,240,210,500,False,0.006,7467.165,7060.0
9,240,220,500,False,0.006,7519.46,7010.0
9,240,230,500,True,0.002,7706.345,7020.0
9,240,240,500,True,0.004,7957.955,6970.0
9,250,180,500,False,0.034,7313.99,7185.0
9,250,190,500,False,0.02,7364.49,7135.0
9,250,200,500,False,0.012,7406.335,7085.0
9,250,210,500,False,0.006,7442.165,7035.0
9,250,220,500,False,0.006,7494.46,6985.0
9,260,180,500,False,0.034,7289.84,7160.0
9,260,190,500,False,0.02,7339.99,7110.0
9,260,200,500,False,0.012,7381.635,7060.0
9,260,210,500,False,0.006,7417.165,7010.0
9,270,180,500,False,0.034,7265.69,7135.0
9,270,190,500,False,0.02,7315.49,7085.0
9,280,180,500,False,0.034,7241.54,7110.0
